,names,main_category,keywords,ratings
39,안면암,자연 / 공원,"신성한 & 종교적인 장소, 경관이 좋은 산책로",4.285714285714286
40,Sara Oreum Lake,자연 / 공원,물길,5.0
41,아라리오뮤지엄 탑동바이크샵,자연 / 공원,아트갤러리,4.5
42,신숭겸장군유적지,자연 / 공원,"역사적인 장소, 기념비 및 동상",4.5
43,김녕사굴,자연 / 공원,동굴,4.0
44,전쟁과 여성 인권 박물관,자연 / 공원,역사박물관,4.85
45,충북교육박물관,자연 / 공원,"전문 박물관, 역사박물관",5.0
46,홍대난타전용극장,자연 / 공원,극장,4.764705882352941
47,평화의 소녀상,자연 / 공원,기념비 및 동상,5.0
48,홍법사,자연 / 공원,신성한 & 종교적인 장소,4.6875
49,죽성드림성당,자연 / 공원,"즐길거리 & 랜드마크, 건축물",4.625
50,5.18 Archives,자연 / 공원,역사박물관,5.0
51,평화의 소녀상,자연 / 공원,기념비 및 동상,5.0
52,정지용 생가,자연 / 공원,역사적인 장소,4.333333333333333
53,칠성시장,자연 / 공원,벼룩시장 & 재래시장,3.8333333333333335
54,순천 왜성,자연 / 공원,성,4.461538461538462
55,청와대 사랑채,박물관,역사박물관,4.5064935064935066
56,서피랑 공원,박물관,"인근 지역, 즐길거리 & 랜드마크",4.6875
57,시지MBC문화센터,박물관,즐길거리 & 랜드마크,4.5
58,귀족호도박물관,박물관,전문 박물관,4.833333333333333
59,인천광역시립박물관,박물관,역사박물관,4.5
60,디큐브시브,박물관,백화점,4.535714285714286
61,소창체험관,박물관,"전문 박물관, 즐길거리 & 랜드마크",4.75
62,울산 박물관,박물관,전문 박물관,4.592105263157895
63,강천산 군립공원,박물관,공원,4.653846153846154
64,오색 탄산온천,박물관,온천 & 간헐천,4.578947368421052
65,포항함 체험관,박물관,즐길거리 & 랜드마크,4.525
66,선유도 공원,박물관,공원,4.638888888888889
67,Pabdol Museum,박물관,전문 박물관,5.0
68,청와대,박물관,공공기관 건물,4.453271028037383
69,개평한옥마을,박물관,즐길거리 & 랜드마크,5.0
70,헌화로,박물관,"부두 & 보드워크, 절경 드라이브 코스, 경관이 좋은 산책로",4.75
71,소나기 마을,박물관,"산림, 교육적인 장소",4.666666666666667
72,인천나비공원,박물관,자연 & 야생동물 서식지,4.46
73,대구어린이회관 꾀꼬리극장,박물관,극장,4.5
74,주교좌 남천성당,박물관,"신성한 & 종교적인 장소, 교회 & 성당",4.571428571428571
75,정동극장,박물관,극장,4.768115942028985
76,도동서원,박물관,역사적인 장소,4.1
77,원주 기후변화홍보관,박물관,"전문 박물관, 즐길거리 & 랜드마크, 놀이터",4.7
78,하니랜드,박물관,공원,4.166666666666667
79,주문진 등대,박물관,등대,5.0
80,낙화암,박물관,역사적인 장소,4.5394736842105265
81,부평역사박물관,박물관,역사박물관,4.6
82,제주 오리엔탈호텔 카지노,박물관,카지노,3.75
83,모충사,랜드마크,기념비 및 동상,4.5
84,주문진,랜드마크,벼룩시장 & 재래시장,4.25
85,백사장항,랜드마크,경관이 좋은 산책로,4.5
86,이대 패션거리,랜드마크,즐길거리 & 랜드마크,4.523722627737226
87,원불교역사박물관,랜드마크,전문 박물관,4.666666666666667
